Product Item ID,Product Title,Product Type L1,Product Type L2,Total Spend ($),Total Clicks,Total Conversions,Total Conv Value ($),ROAS
pg-kocr-n-10-lb,Junegrass - Pasture Seed | Nature's Seed,pasture seed,junegrass,51.08,223,1.01,35.15,0.69
pg-brma-25-lb,Mountain Brome - Pasture Seed | Nature's Seed,pasture seed,mountain brome,50.97,97,0.07,4.15,0.08
gla_185341,Barley,specialty seed,annual winter forages,50.95,40,0.03,1.51,0.03
gla_184483,Alsike Clover Seeds - 25 Pound Bag,pasture seed,individual pasture species,50.68,39,0.06,4.27,0.08
pb-mwpb-2000-f,Mid-West/Mid-Atlantic Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,mid-west/mid-atlantic poultry forage blend,49.47,94,0.5,12.72,0.26
pb-swdbg-1-a,Southwest Desert Big Game Food Plot Blend - Specialty Seed | Nature's Seed,specialty seed,southwest desert big game food plot blend,49.05,99,0.14,21.54,0.44
gla_192028,Midwest Wildflower Mix,wildflower seeds,wildflower seed by region,48.87,118,0.22,23.63,0.48
pb-pnwhb-1-a,Pacific Northwest Honey Bee Pasture Blend - Specialty Seed | Nature's Seed,specialty seed,pacific northwest honey bee pasture blend,48.82,93,1.0,40.54,0.83
pg-sosu-50-lb,Sudangrass - Pasture Seed | Nature's Seed,pasture seed,sudangrass,48.78,162,0.32,16.0,0.33
gla_355924,Teff Grass (Coated),pasture seed,individual pasture species,48.51,110,1.0,36.99,0.76
gla_184559,Intermediate Wheatgrass,pasture seed,pasture seed by region,48.5,58,0.5,33.25,0.69
w-lual-0.25-lb,Mountain Lupine - Wildflower Seed | Nature's Seed,wildflower seed,mountain lupine,48.48,118,1.0,47.91,0.99
pg-vuoc-1-lb,Six Weeks Fescue - Pasture Seed | Nature's Seed,pasture seed,six weeks fescue,48.45,52,0.25,0.0,0.0
pb-ssag,Southwest Semi-Arid Steppe Goat Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest semi-arid steppe goat forage mix,48.42,88,0.56,45.56,0.94
gla_186399,TWCA Water-Wise Tall Fescue Blend,lawn seed,fescue grass seed,47.4,43,0.25,34.59,0.73
gla_184733,Bahia Grass,pasture seed,individual pasture species,46.08,89,0.02,2.26,0.05
gla_183857,Southwest Transitional Goat Forage Mix,sale,goat pasture seed,46.01,40,0.12,8.55,0.19
pb-pswg-2.5-a,Pacific Southwest Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific southwest goat forage blend,45.7,58,0.5,0.0,0.0
gla_184880,Mid-West/Mid-Atlantic Erosion Control Mix,sale,specialty seed by region,45.66,39,0.33,32.43,0.71
pg-kocr,Junegrass Pasture Seed | Nature's Seed,pasture seed,junegrass,45.16,69,0.5,5.82,0.13
pg-feid-n-1-lb,Idaho Fescue - Pasture Seed | Nature's Seed,pasture seed,idaho fescue,45.14,73,0.01,0.35,0.01
pb-iwec-0.5-a,Intermountain West Erosion Control Blend - Specialty Seed | Nature's Seed,specialty seed,intermountain west erosion control blend,44.52,48,0.71,4.89,0.11
turf-nw-500-f,Northwest Seed Blend - Grass Seed | Nature's Seed,grass seed,northwest seed blend,44.43,80,0.59,28.86,0.65
gla_444235,Kentucky Bluegrass,pasture seed,individual pasture species,44.21,45,1.09,1.09,0.02
pb-fthb-0.5-a,Florida Tropics Honey Bee Pasture Blend - Specialty Seed | Nature's Seed,specialty seed,florida tropics honey bee pasture blend,43.95,77,1.2,33.28,0.76
pb-pnwhb-2000-f,Pacific Northwest Honey Bee Pasture Blend - Specialty Seed | Nature's Seed,specialty seed,pacific northwest honey bee pasture blend,43.13,108,1.02,19.96,0.46
15909567289134119346,"Shade-Tolerant Water-Wise Northeast Lawn Mix |TWCA Certified - 25 Lb - 5,000 Sq. Ft",,,42.69,41,4.57,12.97,0.3
gla_444230,"Nature's Seed Pasture & Forage 5 Lb for 5,000 Sq Ft Bahiagrass Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,42.59,60,1.0,1.0,0.02
pb-ssdc-1-a,Southern Subtropics Dairy Cow Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics dairy cow forage blend,41.88,80,0.33,22.96,0.55
pg-buck-10-lb,Common Buckwheat - Pasture Seed | Nature's Seed,pasture seed,common buckwheat,41.51,60,2.0,29.68,0.72
pb-glpb-1-a,Great Lakes/New England Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england poultry forage blend,41.1,55,1.0,0.01,0.0
