sku,product_name,order_count
PG-SIHY-1-LB,Bottlebrush Squirreltail - 1 lb,3
,Southern Subtropics Pollinator Mix - 5000 ft²,3
PG-SPCL,Rough Dropseed - 1 lb,3
W-LAOD,Sweet Pea - 1 Pack,3
W-ASTU-0.25-LB,Butterfly Milkweed - 0.25lbs,3
W-HILA6-N-0.25-LB,Woolly Rose Mallow - 0.25lbs,3
,Canada Bluegrass - 1 lbs,3
W-LUAL-1-LB,Mountain Lupine - 1lbs,3
W-GYEL,Baby’s Breath - 1 Pack,3
,Southwest Desert Pollinator Mix - 1000 ft²,3
W-LOMA,Sweet Alyssum - 1lbs,3
PG-BRHI-10-LB,White Mustard - 10 lbs,3
W-SPCO2-1-LB,Coulter's Globemallow - 1lbs,3
W-MOCI-0.25-LB,Lemon Mint - 0.25lbs,3
W-HEWH,Chaparral Yucca - 1 Pack,3
W-LIGR,Mountain Phlox - 1 Pack,3
PG-VISA,Common Vetch - 1 lb,3
PG-CRJU-1-LB,Sunn Hemp - 1 lb,3
PG-BEVU-1-LB,Sugar Beets - 1 lb,3
W-SPAM,Desert Globemallow - 1 Pack,3
PG-SPCR-10-LB,Sand Dropseed - 10 lbs,3
PG-ASCI-1-LB,Cicer Milkvetch - 1 lb,3
W-HEBO-1-LB,Utah Sweetvetch - 1lbs,3
W-GICA-0.25-LB,Globe Gilia - 0.25lbs,3
W-NEMA-0.25-LB,Five Spot - 0.25lbs,3
WB-SD-1000-F,Sonoran Desert Wildflower Mix - 1000 ft²,3
,Compact Bioswale Mix - 1 lb,2
W-VEFA-0.25-LB,Ironweed - 0.25lbs,2
,Ornamental Bioswale Mix - 1 lb,2
W-MOCI-1-LB,Lemon Mint - 1lbs,2
PB-GPP,Great Plains Pollinator Mix - 2000 ft²,2
W-ROAR-0.25-LB,Arkansas Rose - 0.25lbs,2
PG-CALO-1-LB,Prairie Sand Reed - 1 lb,2
W-VIMU-0.25-LB,Showy Goldeneye - 0.25lbs,2
PB-GLP,Great Lakes/New England Pollinator Mix - 2000 ft²,2
PG-VIVI-50-LB,Hairy Vetch - 50 lbs,2
PB-IWWFR-2.5-A,Intermountain West Wildfire Resistant Mix - 2.5 Acres,2
PB-GLP,Great Lakes/New England Pollinator Mix - 500 ft²,2
W-LAFR4-N,Fremont's Goldfields - 1 Pack,2
PG-CALO-10-LB,Prairie Sand Reed - 10 lbs,2
PG-ECES-10-LB,Japanese Millet - 10 lbs,2
,San Diego Sunflower - 0.25lbs,2
,Berseem Clover - 10 lbs,2
,Native Bioswale Mix - 1 lb,2
W-LAOD,Sweet Pea - 5 Pack,2
,Southwest Desert Pollinator Mix - 500 ft²,2
PG-VISA-10-LB,Common Vetch - 10 lbs,2
W-COBI,Garden Cosmos - 50 Pack,2
PG-TRAR-50-LB,Wheat - 50 lbs,2
,Intermountain West Pollinator Mix - 500 ft²,2
W-MOCI,Lemon Mint - 1 Pack,2
PG-BRHI-50-LB,White Mustard - 50 lbs,2
W-SORI-0.25-LB,Stiff Goldenrod - 0.25lbs,2
PG-SIHY-10-LB,Bottlebrush Squirreltail - 10 lbs,2
W-LIRU-0.5-LB,Scarlet Flax - 0.5lbs,2
W-OEBI,Yellow Evening Primrose - 1 Pack,2
W-LUAR,Arizona Lupine - 1 Pack,2
W-ARPL-0.25-LB,Prickly Poppy - 0.25lbs,2
W-VETE-0.5-LB,Moss Verbena - 0.5lbs,2
W-LUSP-1-LB,Desert Lupine - 1lbs,2
W-ASLA-0.25-LB,Smooth Aster - 0.25lbs,2
W-NEMA-1-LB,Five Spot - 1lbs,2
W-DIPU-0.5-LB,Purple Foxglove - 0.5lbs,2
W-MOFI-1-LB,Wild Bergamot - 1lbs,2
W-GICA-1-LB,Globe Gilia - 1lbs,2
W-GICA-0.5-LB,Globe Gilia - 0.5lbs,2
PG-PEGL2-50-LB,Hybrid Pearl Millet - 50 lbs,2
W-LIGR-0.25-LB,Mountain Phlox - 0.25lbs,2
PG-SIJU-N-1-LB,Big Squirreltail - 1 lb,2
PG-MEIM-1-LB,Coast Range Melic - 1 lb,2
W-LISP-0.25-LB,Spiked Gayfeather - 0.25lbs,2
W-HEWH-0.25-LB,Chaparral Yucca - 0.25lbs,2
,Southwest Semi-Arid Steppe Pollinator Mix - 500 ft²,2
W-LIRU-1-LB,Scarlet Flax - 1lbs,1
PG-PEGL2,Hybrid Pearl Millet - 25 lbs,1
PG-PEGL2-10-LB,Hybrid Pearl Millet - 10 lbs,1
W-VEST-0.25-LB,Hoary Vervain - 0.25lbs,1
,Drummond Phlox - 5 Pack,1
PG-ABES-10-LB,Okra - 10 lbs,1
W-CLAM-1-LB,Farewell-To-Spring - 1lbs,1
,Southwest Semi-Arid Steppe Pollinator Mix - 1000 ft²,1
W-CLPU2-N-1-LB,Purple Clarkia - 1lbs,1
W-TROH-0.25-LB,Ohio Spiderwort - 0.25lbs,1
W-ROAR-1-LB,Arkansas Rose - 1lbs,1
W-HEWH-0.5-LB,Chaparral Yucca - 0.5lbs,1
PG-BRBI-25-LB,Meadow Brome - 25 lbs,1
PG-BRCA4-10-LB,African Cabbage - 10 lbs,1
