sku,name,status,revenue_q1q2,customer_count,units_sold
W-ASFA-N-1-LB-OLD,Narrowleaf Milkweed - 1lbs,PHASED_OUT,1206.0,1,2
PB-SSBG-0.5-A,Southern Subtropics Big Game Food Plot Mix - 1/2 Acre,PHASED_OUT,1202.48,8,18
PB-PNWHB-5-LB,Pacific Northwest Honey Bee Pasture Mix - 5000 ft²,PHASED_OUT,1201.72,15,21
PB-PPT,Pretty Prairie Tallgrass Mix - 10 lbs,PHASED_OUT,1187.03,2,5
PB-PNWAL,Pacific Northwest Alpaca/Llama Forage Mix - 2.5 Acres,PHASED_OUT,1186.58,4,4
PB-SWDD-2.5-A,Southwest Desert Dryland Pasture Mix - 2.5 Acres,PHASED_OUT,1170.43,1,1
WB-SD-2000-F,Sonoran Desert Wildflower Mix - 2000 ft²,ACTIVE,1165.69,13,31
PB-TORT-1000-F-OLD,"Tortoise Forage Mix - 1000 ft², Standard Mix",PHASED_OUT,1163.48,17,19
S-TRRE-1000-F-OLD,White Dutch Clover Seeds - 1000 ft²,PHASED_OUT,1158.07,56,61
PB-SSPB,Southern Subtropics Poultry Forage Mix - 2.5 Acres,PHASED_OUT,1154.3,20,25
PB-CHIX-5-LB-OLD,Poultry Forage Mix,PHASED_OUT,1150.87,9,15
PG-DAGL-1-LB-OLD,Orchard Grass Seed - 1 lb,PHASED_OUT,1149.5,74,182
PB-SWDS-2.5-A,Southwest Desert Sheep Forage Mix - 1/2 Acre,PHASED_OUT,1148.59,7,9
PB-SSPB-5000-F,Southern Subtropics Poultry Forage Mix - 5000 ft²,PHASED_OUT,1146.71,20,20
PG-BRBI-10-LB,Meadow Brome - 10 lbs,PHASED_OUT,1137.21,12,15
PB-PNWAL-1-A,Pacific Northwest Alpaca/Llama Forage Mix - 1 Acre,PHASED_OUT,1131.36,6,6
PG-TRFR-10-LB,Strawberry Clover - 10 lbs,PHASED_OUT,1127.4,8,11
PG-PAVI-50-LB-OLD,Switchgrass Seed - 50 lbs,PHASED_OUT,1125.0,2,2
S-DUTCH-5-LB-OLD,White Dutch Clover Seeds,PHASED_OUT,1124.75,17,25
PG-PHPR-10-LB-OLD,Timothy Grass Seed - 10 lbs,PHASED_OUT,1108.25,17,18
PB-GLP-5000-F,Great Lakes/New England Pollinator Mix - 5000 ft²,PHASED_OUT,1107.9,6,6
TURF-NW-500-F,Northwest Seed Mix - 500 ft²,PHASED_OUT,1105.51,22,23
W-PEEA-1-LB,Firecracker Penstemon - 1lbs,PHASED_OUT,1100.0,1,5
PB-MWEC-10-LB,Mid-West/Mid-Atlantic Erosion Control Mix - 1/2 Acre,PHASED_OUT,1099.26,12,13
W-SPAM-0.25-LB,Desert Globemallow - 0.25lbs,PHASED_OUT,1083.99,22,27
WB-CN,California Native Wildflower Mix - 0.5 lb,PHASED_OUT,1074.79,12,22
PB-GPAL,Great Plains Alpaca/Llama Forage Mix - 2.5 Acres,PHASED_OUT,1072.55,2,3
PB-PSWBC-50-LB,Pacific Southwest Beef Cattle Forage Mix - 2.5 Acres,PHASED_OUT,1065.6,3,4
PG-FEID-10-LB,"Idaho Fescue - 10 lbs, Native Variety",PHASED_OUT,1062.78,4,6
WB-SD-500-F,Sonoran Desert Wildflower Mix - 500 ft²,ACTIVE,1059.73,39,63
S-FERUC-25-LB,Chewings Fescue Grass - 50 lbs,PHASED_OUT,1054.98,5,5
PB-SWTG-2.5-A,Southwest Transitional Goat Forage Mix - 2.5 Acres,PHASED_OUT,1053.06,3,3
PG-BUCK-25-LB-OLD,Common Buckwheat - 25 lbs,PHASED_OUT,1039.98,15,16
PB-GOAT-S-OLD,Southern Goat Pasture Mix,PHASED_OUT,1035.39,8,11
PB-MWEC-1-A,Mid-West/Mid-Atlantic Erosion Control Mix - 2.5 Acres,PHASED_OUT,1030.43,2,4
PB-SWTPB-0.5-A,Southwest Transitional Poultry Forage Mix - 1/2 Acre,PHASED_OUT,1025.18,8,10
PG-CHIN,Forage Chicory - 1 lb,PHASED_OUT,1022.62,42,104
PB-MWAL,Mid-West/Mid-Atlantic Alpaca/Llama Forage Mix - 1/2 Acre,PHASED_OUT,1022.07,6,7
WB-OLGN-2000-F,Ornamental Low Growing Native Mix - 2000 ft²,PHASED_OUT,1007.9,7,10
S-AGPA8-10-LB-OLD,San Diego Bentgrass - 10 lbs,PHASED_OUT,1006.83,1,1
PB-SATHB,South-Atlantic Transitional Honey Bee Pasture Mix - 500 ft²,PHASED_OUT,1001.38,15,15
PB-HRSE-SO-OLD,Southern Horse Pasture Mix,PHASED_OUT,989.89,8,11
PB-ALPACA-10-LB-OLD,Alpaca & Llama Forage Mix,PHASED_OUT,989.89,6,11
PB-GPEC-2.5-A,Great Plains Erosion Control Mix - 2.5 Acres,PHASED_OUT,984.88,3,3
PB-SWDG-1-A,Southwest Desert Goat Forage Mix - 1 Acre,PHASED_OUT,978.87,6,6
