old_sku,old_name,old_categories,old_revenue_q1q2,old_customer_count,old_units_sold,new_sku,new_name,new_categories,new_permalink,new_price,new_image,match_score,replacement_notes
PG-RASA-1-LB,Forage Radish - 1 lb,,405.69,60,94,PB-TORT,Tortoise Forage &amp; Habitat Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/tortoise-forage-mix/,44.99,https://naturesseed.com/wp-content/uploads/2025/07/TURTOISE-1.png,40,
PG-PANO-10-LB-OLD,Bahia Grass - 10 lbs,,400.76,3,3,PG-PANO,Bahia Grass Seed,"All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",https://naturesseed.com/products/pasture-seed/bahia-grass/,99.99,https://naturesseed.com/wp-content/uploads/2025/07/Bahiagrass.png,50,
TURF-LOPE,Perennial Ryegrass Seed Blend - 5 lbs,,399.92,5,8,PG-LOPE,Perennial Ryegrass,"All Seed, Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",https://naturesseed.com/products/pasture-seed/perennial-ryegrass/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/PerennialRyegrass-Crop.png,80,
ID:184549,White Clover Seeds - 5 lbs,,399.92,8,8,PG-TRRE,White Clover Seed,"All Seed, Clover Seed, Cover Crop Seed, Pasture Seed, Specialty Seed",https://naturesseed.com/products/clover-seed/white-clover/,34.99,https://naturesseed.com/wp-content/uploads/2025/09/White-Clover.png,50,
S-FERU-50-LB,"Red Fescue Grass - 50 lbs, Native Variety",,397.13,1,1,PB-CABIN,Native Cabin Grass Seed Mix,"Food Plot Seed, Specialty Seed",https://naturesseed.com/products/pasture-seed/native-cabin-grass-mix/,43.99,https://naturesseed.com/wp-content/uploads/2025/12/NativeCabinLawn.webp,80,
PG-AGRI-1-LB,Streambank Wheatgrass - 1 lb,,393.78,10,24,BDL-ORL,Overseed &amp; Repair Lawn Kit,"Lawn Seed, Northern Lawn, Sports Turf/High Traffic, Transitional Lawn",https://naturesseed.com/products/grass-seed/overseed-and-repair-lawn-kit/,79.99,https://naturesseed.com/wp-content/uploads/2026/02/Overseed-Repair-Lawn-Kit-Fast-Green-Perennial-Ryegrass-Deep-Rooted-Triblade-Elite-Tall-Fescue-1.png,30,
W-ORPU-0.25-LB,Owl’s Clover - 0.25lbs,,390.64,3,4,PB-CLV,Pasture Clover Mix for Waterfowl Food Plots,"Pasture Seed, Food Plot Seed",https://naturesseed.com/products/pasture-seed/pasture-clover-mix-for-duck-quail-food-plot/,47.99,https://naturesseed.com/wp-content/uploads/2025/12/Duck-and-Quail-Food-Plot.webp,40,
W-PEPU-1-LB,Purple Prairie Clover - 1lbs,,390.27,11,13,PB-CLV,Pasture Clover Mix for Waterfowl Food Plots,"Pasture Seed, Food Plot Seed",https://naturesseed.com/products/pasture-seed/pasture-clover-mix-for-duck-quail-food-plot/,47.99,https://naturesseed.com/wp-content/uploads/2025/12/Duck-and-Quail-Food-Plot.webp,40,
WB-AN-OLD,Annual Wildflower Mix - 0.5 lb,,389.87,6,13,WB-AN,Annual Wildflower Seed Mix,"All Seed, Native Wildflower Seed &amp; Seed Mixes",https://naturesseed.com/products/wildflower-seed/annual-wildflower-mix/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/Annual_5.png,50,
WB-RM-OLD,Rocky Mountain Wildflower Mix - 0.5 lb,,389.87,7,13,WB-RM,Rocky Mountain Wildflower Seed Mix,"All Seed, Native Wildflower Seed &amp; Seed Mixes",https://naturesseed.com/products/wildflower-seed/rocky-mountain-wildflower-mix/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/shutterstock_292137011-scaled-1.jpg,60,
TURF-WT-1000-F,TWCA Water-Wise Tall Fescue Blend - 1000 ft²,,388.6,2,3,PG-FEAR2,Tall Fescue Grass Seed,"Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",https://naturesseed.com/products/pasture-seed/tall-fescue/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/TallFescue-Crop.jpg,50,
W-LUSU-N-1-LB-OLD,Arroyo Lupine - 1lbs,,388.21,8,9,W-LUSU,Arroyo Lupine Seed,"All Seed, Native Wildflower Seed &amp; Seed Mixes, Specialty Seed, California Collection",https://naturesseed.com/products/wildflower-seed/arroyo-lupine/,15.28,https://naturesseed.com/wp-content/uploads/2025/09/Arroyo-Lupine.png,20,
PB-SSABG-0.5-A,Southwest Semi-Arid Steppe Big Game Food Plot Mix - 1/2 Acre,,387.8,3,5,PB-GAME,Big Game Food Plot &amp; Forage Mix,"All Seed, Food Plot Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/big-game-food-plot-forage-mix/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/Game-1.webp,70,
PG-FEAR2-5-LB-OLD,Tall Fescue,,384.89,4,11,PG-FEAR2,Tall Fescue Grass Seed,"Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",https://naturesseed.com/products/pasture-seed/tall-fescue/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/TallFescue-Crop.jpg,50,
PB-PSWHB-10-LB,Pacific Southwest Honey Bee Pasture Mix - 10 lbs,,384.47,4,5,PB-SHEP-SO,Warm Season Sheep Pasture Mix,"Sheep Pastures, All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-warm-season/,69.99,https://naturesseed.com/wp-content/uploads/2025/07/SSHEEP.webp,70,
PG-ELCA-10-LB,Canada Wildrye - 10 lbs,,384.25,3,3,PB-DRY,Dryland Pasture Mix,,https://naturesseed.com/products/pasture-seed/dryland-pasture-mix/,50.99,https://naturesseed.com/wp-content/uploads/2025/12/DrylandPAsture.webp,30,
PB-MWHB-1000-F,Mid-West/Mid-Atlantic Honey Bee Pasture Mix - 1000 ft²,,383.5,11,20,PB-HONEY,Honey Bee Cover Crop &amp; Pasture Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Specialty Seed",https://naturesseed.com/products/pasture-seed/honey-bee-cover-crop-pasture-mix/,59.99,https://naturesseed.com/wp-content/uploads/2025/07/HONEY.webp,60,
PB-SWDDC-1-A,Southwest Desert Dairy Cow Forage Mix - 1 Acre,,380.14,2,2,PB-COW-SO,Warm Season Cattle Pasture Seed Mix,"All Seed, Cattle Pasture Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-for-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/SCOW.webp,90,
CV-NEC-10-LB-OLD,Native Dryland & Erosion Control Mix,,379.96,4,4,CV-BGEC,Prairie Native Drought-Tolerant &amp; Erosion Control Mix,"All Seed, Pasture Seed",https://naturesseed.com/products/specialty-seed/big-four-native-erosion-control-mix-2/,199.99,https://naturesseed.com/wp-content/uploads/2025/07/shutterstock_2560459105-scaled-1.jpg,120,
PB-SATHB-2.5-A,South-Atlantic Transitional Honey Bee Pasture Mix - 2.5 Acres,,374.7,1,1,PB-SHEP-SO,Warm Season Sheep Pasture Mix,"Sheep Pastures, All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-warm-season/,69.99,https://naturesseed.com/wp-content/uploads/2025/07/SSHEEP.webp,70,
PB-GLD-1-A,Great Lakes/New England Dryland Pasture Mix - 1 Acre,,374.39,2,2,PB-DRY,Dryland Pasture Mix,,https://naturesseed.com/products/pasture-seed/dryland-pasture-mix/,50.99,https://naturesseed.com/wp-content/uploads/2025/12/DrylandPAsture.webp,80,
W-GAAR-1-LB,Blanket Flower - 1lbs,,368.17,6,8,BDL-FYC,First-Year Color + Perennial Foundation Wildflower Kit,Native Wildflower Seed &amp; Seed Mixes,https://naturesseed.com/products/wildflower-seed/first-year-and-perennial-foundation-wildflower-kit/,49.99,https://naturesseed.com/wp-content/uploads/2026/02/First-Year-Color-Perennial-Foundation-Wildflower-Kit-2-Mix-Instant-Permanent-Meadow-Starter-1.png,30,
PB-SSAHB-1-A,Southwest Semi-Arid Steppe Honey Bee Pasture Mix - 1 Acre,,367.19,2,2,PB-SHEP-SO,Warm Season Sheep Pasture Mix,"Sheep Pastures, All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-warm-season/,69.99,https://naturesseed.com/wp-content/uploads/2025/07/SSHEEP.webp,70,
PG-MEOF-25-LB,Yellow Sweet Clover - 25 lbs,,361.99,3,6,PB-CLV,Pasture Clover Mix for Waterfowl Food Plots,"Pasture Seed, Food Plot Seed",https://naturesseed.com/products/pasture-seed/pasture-clover-mix-for-duck-quail-food-plot/,47.99,https://naturesseed.com/wp-content/uploads/2025/12/Duck-and-Quail-Food-Plot.webp,40,
PB-SATG,South-Atlantic Transitional Goat Forage Mix - 1/2 Acre,,361.86,3,3,PB-GOAT-TR,Goat Pasture &amp; Forage Mix,"Pasture Seed, All Seed, Goat Pasture Seed",https://naturesseed.com/products/pasture-seed/goat-pasture-forage-mix-transitional/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/TGOAT.webp,80,
PB-GOAT-T-OLD,Transitional Goat Pasture Mix,,359.96,4,4,PB-GOAT-TR,Goat Pasture &amp; Forage Mix,"Pasture Seed, All Seed, Goat Pasture Seed",https://naturesseed.com/products/pasture-seed/goat-pasture-forage-mix-transitional/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/TGOAT.webp,80,
W-PHCA-0.25-LB,California Bluebell - 0.25lbs,,359.57,16,16,PB-COSS,Coastal California Sage Scrub Mix,"All Seed, Native Wildflower Seed &amp; Seed Mixes, California Collection",https://naturesseed.com/products/wildflower-seed/coastal-sage-scrub-mix/,38.82,https://naturesseed.com/wp-content/uploads/2025/09/Coastal-Sage-Scrub-Mix.png,40,
PG-MURI2-1-LB,Deergrass - 1 lbs,,358.91,1,1,BDL-ORL,Overseed &amp; Repair Lawn Kit,"Lawn Seed, Northern Lawn, Sports Turf/High Traffic, Transitional Lawn",https://naturesseed.com/products/grass-seed/overseed-and-repair-lawn-kit/,79.99,https://naturesseed.com/wp-content/uploads/2026/02/Overseed-Repair-Lawn-Kit-Fast-Green-Perennial-Ryegrass-Deep-Rooted-Triblade-Elite-Tall-Fescue-1.png,30,
PG-MEOF-10-LB,Yellow Sweet Clover - 10 lbs,,358.12,7,7,PB-CLV,Pasture Clover Mix for Waterfowl Food Plots,"Pasture Seed, Food Plot Seed",https://naturesseed.com/products/pasture-seed/pasture-clover-mix-for-duck-quail-food-plot/,47.99,https://naturesseed.com/wp-content/uploads/2025/12/Duck-and-Quail-Food-Plot.webp,40,
PG-AGTR,Slender Wheatgrass - 25 lbs,,355.54,2,5,BDL-ORL,Overseed &amp; Repair Lawn Kit,"Lawn Seed, Northern Lawn, Sports Turf/High Traffic, Transitional Lawn",https://naturesseed.com/products/grass-seed/overseed-and-repair-lawn-kit/,79.99,https://naturesseed.com/wp-content/uploads/2026/02/Overseed-Repair-Lawn-Kit-Fast-Green-Perennial-Ryegrass-Deep-Rooted-Triblade-Elite-Tall-Fescue-1.png,30,
PG-BRMO-10-LB,Blando Brome Grass - 10 lbs,,352.2,2,4,PB-CABIN,Native Cabin Grass Seed Mix,"Food Plot Seed, Specialty Seed",https://naturesseed.com/products/pasture-seed/native-cabin-grass-mix/,43.99,https://naturesseed.com/wp-content/uploads/2025/12/NativeCabinLawn.webp,40,
