Product Item ID,Product Title,Product Type L1,Product Type L2,Total Spend ($),Total Clicks,Total Conversions,Total Conv Value ($),ROAS
gla_355576,Smooth Milkweed,heartland collection,wildflower seed by region,40.24,7,0.0,0.0,0.0
gla_184910,Intermountain West Erosion Control Mix,sale,specialty seed by region,40.23,22,0.0,0.0,0.0
gla_355868,Purple Top Turnips,pasture seed,pasture seed by region,40.12,43,0.0,0.0,0.0
pg-meim-1-lb,Coast Range Melic - Pasture Seed | Nature's Seed,pasture seed,coast range melic,40.07,70,0.0,0.0,0.0
gla_458432,"Nature's Seed Meadow Lawn Seed Blend - 5 lb Bag, Covers 1,000 sq ft - Turf Grass Seed Mix",lawn / turf seeds,home lawn/yard grass seed,40.04,25,0.0,0.0,0.0
gla_184889,Pacific Southwest Erosion Control Mix,sale,erosion control blends,40.02,17,0.0,0.0,0.0
pb-glug,Great Lakes/New England Upland Game Food Plot Mix Specialty Seed | Nature's Seed,specialty seed,great lakes/new england upland game food plot mix,39.87,68,0.0,0.0,0.0
gla_184358,Southwest Semi-Arid Steppe Honey Bee Pasture Mix,sale,honey bee blends,39.72,27,0.0,0.24,0.01
pb-iwec-2.5-a,Intermountain West Erosion Control Blend - Specialty Seed | Nature's Seed,specialty seed,intermountain west erosion control blend,39.68,56,0.0,0.0,0.0
gla_185503,Intermountain West Poultry Forage Mix,sale,poultry pastures,39.57,31,0.0,0.0,0.0
